"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","377","n/e","n/e","134","0","n/e","n/e","n/e","n/e","445","61","1112","664","n/e","n/e","24","n/e","0","n/e","8","3394"
"BZN|PT","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","387","n/e","n/e","134","0","n/e","n/e","n/e","n/e","358","130","982","727","n/e","n/e","25","n/e","0","n/e","8","3409"
"BZN|PT","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","383","n/e","n/e","134","0","n/e","n/e","n/e","n/e","78","395","759","648","n/e","n/e","25","n/e","0","n/e","9","3548"
"BZN|PT","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","376","n/e","n/e","134","0","n/e","n/e","n/e","n/e","78","812","537","597","n/e","n/e","26","n/e","0","n/e","12","3661"
"BZN|PT","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","374","n/e","n/e","135","0","n/e","n/e","n/e","n/e","64","1130","534","586","n/e","n/e","24","n/e","0","n/e","17","4057"
"BZN|PT","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","372","n/e","n/e","134","0","n/e","n/e","n/e","n/e","0","1368","404","514","n/e","n/e","24","n/e","0","n/e","17","4002"
"BZN|PT","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","374","n/e","n/e","134","0","n/e","n/e","n/e","n/e","0","1370","440","473","n/e","n/e","22","n/e","0","n/e","9","3878"
"BZN|PT","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","375","n/e","n/e","134","0","n/e","n/e","n/e","n/e","0","1367","405","470","n/e","n/e","23","n/e","0","n/e","15","3752"
"BZN|PT","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","376","n/e","n/e","133","0","n/e","n/e","n/e","n/e","0","1122","365","458","n/e","n/e","24","n/e","0","n/e","17","3449"
"BZN|PT","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","377","n/e","n/e","133","0","n/e","n/e","n/e","n/e","0","1078","327","489","n/e","n/e","25","n/e","29","n/e","17","3311"
"BZN|PT","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","372","n/e","n/e","137","0","n/e","n/e","n/e","n/e","0","995","314","607","n/e","n/e","24","n/e","149","n/e","17","3369"
"BZN|PT","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","369","n/e","n/e","136","0","n/e","n/e","n/e","n/e","0","631","318","737","n/e","n/e","25","n/e","461","n/e","13","3412"
"BZN|PT","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","367","n/e","n/e","137","0","n/e","n/e","n/e","n/e","126","508","779","1060","n/e","n/e","24","n/e","683","n/e","1","3389"
"BZN|PT","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","363","n/e","n/e","137","0","n/e","n/e","n/e","n/e","283","284","688","691","n/e","n/e","24","n/e","666","n/e","1","3928"
"BZN|PT","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","363","n/e","n/e","139","0","n/e","n/e","n/e","n/e","375","461","685","657","n/e","n/e","24","n/e","479","n/e","2","4077"
"BZN|PT","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","353","n/e","n/e","140","0","n/e","n/e","n/e","n/e","209","549","909","688","n/e","n/e","23","n/e","271","n/e","6","3957"
"BZN|PT","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","369","n/e","n/e","141","0","n/e","n/e","n/e","n/e","502","117","988","784","n/e","n/e","25","n/e","136","n/e","3","3617"
"BZN|PT","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","362","n/e","n/e","162","0","n/e","n/e","n/e","n/e","649","61","1055","1070","n/e","n/e","25","n/e","53","n/e","2","3109"
"BZN|PT","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","348","n/e","n/e","231","0","n/e","n/e","n/e","n/e","1561","60","1476","1314","n/e","n/e","25","n/e","1","n/e","3","2456"
