Date_Hour,Solar Power Aggregated [MW],Temperature (°C),Relative Humidity (%),Apparent Temperature (°C),Precipitation (mm),Rain (mm),Cloud cover (%),Wind speed 10m (km/h),Day,Sunshine Duration (s),Direct Radiation (W/m²),Diffuse Radiation (W/m²),Direct Normal Irradiance (W/m²),Month,Hot Seasons,Solar Power-1h,Solar Power-2h,Hour
2024-01-01 02:00:00,0,9.8,89.0,8.5,0.0,0.0,2.0,5.6,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2
2024-01-01 03:00:00,0,8.9,88.0,7.3,0.0,0.0,13.0,6.3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3
2024-01-01 04:00:00,0,8.7,89.0,7.1,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4
2024-01-01 05:00:00,0,8.1,88.0,6.2,0.0,0.0,30.0,6.6,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5
2024-01-01 06:00:00,0,8.0,87.0,5.9,0.0,0.0,3.0,7.3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,6
2024-01-01 07:00:00,0,7.3,89.0,4.9,0.0,0.0,7.0,9.6,0.0,0.0,0.0,0.0,0.0,1,0,0,0,7
2024-01-01 08:00:00,1,6.6,96.0,4.2,0.0,0.0,32.0,9.8,1.0,0.0,0.0,0.0,0.0,1,0,0,0,8
2024-01-01 09:00:00,120,9.4,94.0,7.8,0.0,0.0,9.0,7.9,1.0,2112.55,34.0,23.0,281.4,1,0,1,0,9
2024-01-01 10:00:00,542,11.0,86.0,9.7,0.0,0.0,4.0,6.2,1.0,3600.0,143.0,57.0,597.2,1,0,120,1,10
2024-01-01 11:00:00,1022,12.4,76.0,11.2,0.0,0.0,15.0,5.2,1.0,3600.0,257.0,73.0,714.6,1,0,542,120,11
2024-01-01 12:00:00,1252,13.4,69.0,11.9,0.0,0.0,9.0,6.1,1.0,3600.0,315.0,93.0,718.0,1,0,1022,542,12
2024-01-01 13:00:00,1278,14.0,67.0,13.0,0.0,0.0,10.0,3.5,1.0,3600.0,386.0,78.0,819.0,1,0,1252,1022,13
2024-01-01 14:00:00,1177,14.7,66.0,14.1,0.0,0.0,21.0,1.4,1.0,3600.0,371.0,75.0,815.2,1,0,1278,1252,14
2024-01-01 15:00:00,901,15.2,64.0,14.5,0.0,0.0,30.0,2.2,1.0,3600.0,293.0,75.0,748.8,1,0,1177,1278,15
2024-01-01 16:00:00,586,15.1,65.0,14.3,0.0,0.0,30.0,2.5,1.0,3600.0,161.0,75.0,566.5,1,0,901,1177,16
2024-01-01 17:00:00,157,14.5,66.0,13.6,0.0,0.0,42.0,2.5,1.0,3328.21,38.0,52.0,258.1,1,0,586,901,17
2024-01-01 18:00:00,4,11.3,83.0,10.0,0.0,0.0,38.0,5.8,0.0,0.0,0.0,4.0,0.0,1,0,157,586,18
2024-01-01 19:00:00,0,10.7,91.0,9.7,0.0,0.0,34.0,5.8,0.0,0.0,0.0,0.0,0.0,1,0,4,157,19
2024-01-01 20:00:00,0,9.6,91.0,7.8,0.0,0.0,45.0,9.1,0.0,0.0,0.0,0.0,0.0,1,0,0,4,20
2024-01-01 21:00:00,0,11.4,83.0,10.3,0.0,0.0,75.0,5.4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,21
2024-01-01 22:00:00,0,10.3,87.0,8.7,0.0,0.0,100.0,7.7,0.0,0.0,0.0,0.0,0.0,1,0,0,0,22
2024-01-01 23:00:00,0,9.9,88.0,8.0,0.0,0.0,88.0,9.1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,23
