Date_Hour,Solar Power Aggregated [MW],Temperature (°C),Relative Humidity (%),Apparent Temperature (°C),Precipitation (mm),Rain (mm),Cloud cover (%),Wind speed 10m (km/h),Day,Sunshine Duration (s),Direct Radiation (W/m²),Diffuse Radiation (W/m²),Direct Normal Irradiance (W/m²)
2022-01-01 00:00:00,0.0,12.5,86.0,11.7,0.0,0.0,18.0,6.5,0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00,0.0,11.7,89.0,10.8,0.0,0.0,29.0,6.1,0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,0.0,12.2,90.0,11.5,0.0,0.0,30.0,5.6,0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,0.0,12.1,90.0,11.3,0.0,0.0,15.0,6.7,0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,0.0,11.5,91.0,10.6,0.0,0.0,30.0,6.1,0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00,0.0,11.4,91.0,10.5,0.0,0.0,29.0,5.9,0,0.0,0.0,0.0,0.0
2022-01-01 06:00:00,0.0,11.6,91.0,10.7,0.0,0.0,28.0,6.9,0,0.0,0.0,0.0,0.0
2022-01-01 07:00:00,0.0,11.7,92.0,10.7,0.0,0.0,30.0,8.1,0,0.0,0.0,0.0,0.0
2022-01-01 08:00:00,2.0,11.6,92.0,10.4,0.0,0.0,30.0,8.9,1,0.0,0.0,0.0,0.0
2022-01-01 09:00:00,116.0,12.3,90.0,11.2,0.0,0.0,30.0,9.1,1,2102.46,22.0,30.0,182.4
2022-01-01 10:00:00,410.0,13.8,85.0,13.0,0.0,0.0,30.0,8.2,1,3600.0,119.0,71.0,497.6
2022-01-01 11:00:00,629.0,15.2,77.0,14.5,0.0,0.0,30.0,7.3,1,3600.0,171.0,120.0,475.5
2022-01-01 12:00:00,711.0,17.2,69.0,16.9,0.0,0.0,31.0,5.4,1,3600.0,245.0,138.0,558.2
2022-01-01 13:00:00,712.0,18.2,66.0,18.0,0.0,0.0,30.0,5.5,1,3600.0,161.0,202.0,341.3
2022-01-01 14:00:00,660.0,18.7,64.0,18.4,0.0,0.0,30.0,5.6,1,3600.0,105.0,206.0,230.4
2022-01-01 15:00:00,572.0,18.9,61.0,18.4,0.0,0.0,30.0,5.8,1,3600.0,78.0,180.0,198.9
2022-01-01 16:00:00,401.0,18.2,67.0,17.9,0.0,0.0,23.0,5.9,1,3600.0,118.0,98.0,413.6
2022-01-01 17:00:00,159.0,15.8,79.0,15.6,0.0,0.0,30.0,6.5,1,3355.13,48.0,47.0,324.7
2022-01-01 18:00:00,3.0,14.2,88.0,13.9,0.0,0.0,30.0,7.4,0,0.0,1.0,4.0,14.9
2022-01-01 19:00:00,0.0,14.2,89.0,13.9,0.0,0.0,29.0,7.9,0,0.0,0.0,0.0,0.0
2022-01-01 20:00:00,0.0,14.2,90.0,13.8,0.0,0.0,30.0,8.7,0,0.0,0.0,0.0,0.0
2022-01-01 21:00:00,0.0,14.1,91.0,13.7,0.0,0.0,30.0,8.9,0,0.0,0.0,0.0,0.0
2022-01-01 22:00:00,0.0,14.2,91.0,13.7,0.0,0.0,29.0,9.2,0,0.0,0.0,0.0,0.0
2022-01-01 23:00:00,0.0,14.0,92.0,13.6,0.0,0.0,30.0,8.3,0,0.0,0.0,0.0,0.0
2022-01-02 00:00:00,0.0,13.6,94.0,13.3,0.0,0.0,30.0,7.6,0,0.0,0.0,0.0,0.0
2022-01-02 01:00:00,0.0,12.8,95.0,12.3,0.0,0.0,30.0,7.7,0,0.0,0.0,0.0,0.0
2022-01-02 02:00:00,0.0,12.9,96.0,12.3,0.0,0.0,30.0,8.4,0,0.0,0.0,0.0,0.0
2022-01-02 03:00:00,0.0,13.6,94.0,13.4,0.0,0.0,56.0,7.1,0,0.0,0.0,0.0,0.0
2022-01-02 04:00:00,0.0,15.2,92.0,15.7,0.0,0.0,63.0,4.9,0,0.0,0.0,0.0,0.0
2022-01-02 05:00:00,0.0,13.9,95.0,14.1,0.0,0.0,66.0,5.2,0,0.0,0.0,0.0,0.0
