time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),cloud_cover (%),wind_speed_10m (km/h),is_day (),sunshine_duration (s),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2022-01-01 00:00,12.5,86,11.7,0.00,0.00,18,6.5,0,0.00,0.0,0.0,0.0
2022-01-01 01:00,11.7,89,10.8,0.00,0.00,29,6.1,0,0.00,0.0,0.0,0.0
2022-01-01 02:00,12.2,90,11.5,0.00,0.00,30,5.6,0,0.00,0.0,0.0,0.0
2022-01-01 03:00,12.1,90,11.3,0.00,0.00,15,6.7,0,0.00,0.0,0.0,0.0
2022-01-01 04:00,11.5,91,10.6,0.00,0.00,30,6.1,0,0.00,0.0,0.0,0.0
2022-01-01 05:00,11.4,91,10.5,0.00,0.00,29,5.9,0,0.00,0.0,0.0,0.0
2022-01-01 06:00,11.6,91,10.7,0.00,0.00,28,6.9,0,0.00,0.0,0.0,0.0
2022-01-01 07:00,11.7,92,10.7,0.00,0.00,30,8.1,0,0.00,0.0,0.0,0.0
2022-01-01 08:00,11.6,92,10.4,0.00,0.00,30,8.9,1,0.00,0.0,0.0,0.0
2022-01-01 09:00,12.3,90,11.2,0.00,0.00,30,9.1,1,2102.46,22.0,30.0,182.4
2022-01-01 10:00,13.8,85,13.0,0.00,0.00,30,8.2,1,3600.00,119.0,71.0,497.6
2022-01-01 11:00,15.2,77,14.5,0.00,0.00,30,7.3,1,3600.00,171.0,120.0,475.5
2022-01-01 12:00,17.2,69,16.9,0.00,0.00,31,5.4,1,3600.00,245.0,138.0,558.2
2022-01-01 13:00,18.2,66,18.0,0.00,0.00,30,5.5,1,3600.00,161.0,202.0,341.3
2022-01-01 14:00,18.7,64,18.4,0.00,0.00,30,5.6,1,3600.00,105.0,206.0,230.4
2022-01-01 15:00,18.9,61,18.4,0.00,0.00,30,5.8,1,3600.00,78.0,180.0,198.9
2022-01-01 16:00,18.2,67,17.9,0.00,0.00,23,5.9,1,3600.00,118.0,98.0,413.6
2022-01-01 17:00,15.8,79,15.6,0.00,0.00,30,6.5,1,3355.13,48.0,47.0,324.7
2022-01-01 18:00,14.2,88,13.9,0.00,0.00,30,7.4,0,0.00,1.0,4.0,14.9
2022-01-01 19:00,14.2,89,13.9,0.00,0.00,29,7.9,0,0.00,0.0,0.0,0.0
2022-01-01 20:00,14.2,90,13.8,0.00,0.00,30,8.7,0,0.00,0.0,0.0,0.0
2022-01-01 21:00,14.1,91,13.7,0.00,0.00,30,8.9,0,0.00,0.0,0.0,0.0
2022-01-01 22:00,14.2,91,13.7,0.00,0.00,29,9.2,0,0.00,0.0,0.0,0.0
2022-01-01 23:00,14.0,92,13.6,0.00,0.00,30,8.3,0,0.00,0.0,0.0,0.0
2022-01-02 00:00,13.6,94,13.3,0.00,0.00,30,7.6,0,0.00,0.0,0.0,0.0
2022-01-02 01:00,12.8,95,12.3,0.00,0.00,30,7.7,0,0.00,0.0,0.0,0.0
2022-01-02 02:00,12.9,96,12.3,0.00,0.00,30,8.4,0,0.00,0.0,0.0,0.0
2022-01-02 03:00,13.6,94,13.4,0.00,0.00,56,7.1,0,0.00,0.0,0.0,0.0
2022-01-02 04:00,15.2,92,15.7,0.00,0.00,63,4.9,0,0.00,0.0,0.0,0.0
2022-01-02 05:00,13.9,95,14.1,0.00,0.00,66,5.2,0,0.00,0.0,0.0,0.0
2022-01-02 06:00,14.6,95,15.2,0.00,0.00,86,4.2,0,0.00,0.0,0.0,0.0
2022-01-02 07:00,14.1,96,14.8,0.00,0.00,85,2.5,0,0.00,0.0,0.0,0.0
2022-01-02 08:00,12.4,99,12.4,0.00,0.00,100,5.5,1,0.00,0.0,0.0,0.0
2022-01-02 09:00,14.1,97,14.5,0.00,0.00,66,5.2,1,980.55,14.0,26.0,116.1
2022-01-02 10:00,15.1,93,15.6,0.00,0.00,100,5.4,1,3600.00,51.0,83.0,213.1
2022-01-02 11:00,16.3,88,17.1,0.00,0.00,100,4.0,1,3600.00,120.0,131.0,333.3
2022-01-02 12:00,16.5,91,17.9,0.00,0.00,100,1.8,1,3600.00,170.0,149.0,386.5
2022-01-02 13:00,17.1,88,18.7,0.00,0.00,100,1.0,1,1307.81,49.0,186.0,103.6
2022-01-02 14:00,17.6,85,18.9,0.00,0.00,47,3.2,1,3600.00,176.0,141.0,384.8
2022-01-02 15:00,17.4,87,18.3,0.00,0.00,51,5.8,1,3600.00,169.0,108.0,428.8
2022-01-02 16:00,16.8,90,17.8,0.00,0.00,44,5.1,1,3600.00,110.0,79.0,382.7
2022-01-02 17:00,15.8,96,17.2,0.00,0.00,27,2.3,1,3404.54,38.0,44.0,255.0
2022-01-02 18:00,13.7,100,14.5,0.00,0.00,100,3.3,0,0.00,1.0,4.0,14.7
2022-01-02 19:00,12.6,100,12.8,0.00,0.00,90,4.7,0,0.00,0.0,0.0,0.0
2022-01-02 20:00,12.7,100,12.8,0.00,0.00,100,4.7,0,0.00,0.0,0.0,0.0
2022-01-02 21:00,12.4,100,12.4,0.00,0.00,100,5.4,0,0.00,0.0,0.0,0.0
2022-01-02 22:00,12.8,100,13.2,0.00,0.00,100,3.1,0,0.00,0.0,0.0,0.0
2022-01-02 23:00,13.2,99,13.7,0.00,0.00,100,3.1,0,0.00,0.0,0.0,0.0
2022-01-03 00:00,12.8,100,12.8,0.00,0.00,100,5.6,0,0.00,0.0,0.0,0.0
2022-01-03 01:00,12.6,100,12.8,0.00,0.00,100,4.7,0,0.00,0.0,0.0,0.0
2022-01-03 02:00,12.4,100,12.6,0.00,0.00,100,3.7,0,0.00,0.0,0.0,0.0
2022-01-03 03:00,13.0,99,13.6,0.00,0.00,100,2.3,0,0.00,0.0,0.0,0.0
2022-01-03 04:00,13.0,98,13.4,0.00,0.00,100,2.6,0,0.00,0.0,0.0,0.0
2022-01-03 05:00,12.8,97,13.2,0.00,0.00,100,2.5,0,0.00,0.0,0.0,0.0
2022-01-03 06:00,12.8,93,12.8,0.00,0.00,100,3.6,0,0.00,0.0,0.0,0.0
2022-01-03 07:00,12.6,94,12.6,0.00,0.00,100,4.0,0,0.00,0.0,0.0,0.0
2022-01-03 08:00,12.3,96,12.3,0.00,0.00,100,3.6,1,0.00,0.0,0.0,0.0
2022-01-03 09:00,13.0,91,12.9,0.00,0.00,100,4.3,1,255.07,9.0,25.0,74.6
2022-01-03 10:00,13.3,95,13.4,0.00,0.00,100,4.7,1,3600.00,45.0,81.0,187.9
2022-01-03 11:00,14.4,93,15.0,0.00,0.00,64,2.9,1,3600.00,109.0,134.0,302.2
2022-01-03 12:00,15.0,87,15.1,0.00,0.00,57,5.8,1,3600.00,210.0,147.0,476.4
2022-01-03 13:00,16.7,82,16.3,0.00,0.00,60,10.9,1,3600.00,245.0,151.0,516.5
2022-01-03 14:00,16.1,88,15.5,0.00,0.00,57,13.3,1,3600.00,247.0,136.0,538.0
2022-01-03 15:00,15.7,92,15.3,0.00,0.00,100,12.5,1,3600.00,115.0,145.0,290.3
2022-01-03 16:00,15.9,89,15.6,0.00,0.00,50,11.8,1,3600.00,145.0,84.0,500.6
2022-01-03 17:00,15.0,95,15.1,0.00,0.00,33,8.9,1,3455.24,61.0,41.0,406.0
2022-01-03 18:00,14.1,97,13.8,0.00,0.00,32,9.5,0,0.00,2.0,4.0,28.9
2022-01-03 19:00,14.0,97,13.6,0.00,0.00,28,10.2,0,0.00,0.0,0.0,0.0
2022-01-03 20:00,13.9,96,13.5,0.00,0.00,30,10.1,0,0.00,0.0,0.0,0.0
2022-01-03 21:00,13.9,96,13.4,0.00,0.00,30,10.6,0,0.00,0.0,0.0,0.0
2022-01-03 22:00,14.1,94,13.5,0.00,0.00,30,11.1,0,0.00,0.0,0.0,0.0
2022-01-03 23:00,14.1,93,13.3,0.00,0.00,30,11.9,0,0.00,0.0,0.0,0.0
2022-01-04 00:00,14.4,93,13.4,0.00,0.00,5,13.9,0,0.00,0.0,0.0,0.0
2022-01-04 01:00,14.5,91,13.0,0.00,0.00,30,16.6,0,0.00,0.0,0.0,0.0
2022-01-04 02:00,14.7,88,13.1,0.00,0.00,29,16.9,0,0.00,0.0,0.0,0.0
2022-01-04 03:00,14.9,84,13.0,0.00,0.00,10,17.7,0,0.00,0.0,0.0,0.0
2022-01-04 04:00,15.2,80,12.9,0.00,0.00,6,19.1,0,0.00,0.0,0.0,0.0
2022-01-04 05:00,15.6,77,13.0,0.00,0.00,0,21.3,0,0.00,0.0,0.0,0.0
2022-01-04 06:00,15.9,76,13.0,0.00,0.00,3,23.4,0,0.00,0.0,0.0,0.0
2022-01-04 07:00,16.0,80,13.0,0.20,0.20,86,26.1,0,0.00,0.0,0.0,0.0
2022-01-04 08:00,14.3,87,10.6,0.20,0.20,100,30.1,1,0.00,0.0,0.0,0.0
2022-01-04 09:00,13.9,84,11.2,0.00,0.00,68,20.9,1,0.00,0.0,17.0,0.0
2022-01-04 10:00,13.3,88,11.2,0.80,0.80,94,17.4,1,0.00,2.0,48.0,8.3
2022-01-04 11:00,12.4,84,9.4,0.60,0.60,51,20.4,1,0.00,0.0,49.0,0.0
2022-01-04 12:00,13.1,83,10.6,0.30,0.30,22,17.9,1,3600.00,140.0,149.0,316.8
2022-01-04 13:00,14.2,76,10.9,0.00,0.00,34,23.3,1,3600.00,283.0,111.0,594.7
2022-01-04 14:00,14.2,71,10.1,0.00,0.00,34,26.3,1,3600.00,299.0,99.0,648.6
2022-01-04 15:00,14.0,74,11.1,0.00,0.00,35,18.6,1,3600.00,219.0,94.0,549.9
2022-01-04 16:00,13.9,71,11.0,0.00,0.00,24,18.3,1,3600.00,130.0,74.0,445.2
2022-01-04 17:00,13.3,72,10.3,0.00,0.00,47,17.4,1,3508.13,51.0,40.0,336.6
2022-01-04 18:00,12.6,78,10.4,0.00,0.00,35,12.5,0,0.00,1.0,4.0,14.2
2022-01-04 19:00,12.4,76,10.4,0.00,0.00,6,10.6,0,0.00,0.0,0.0,0.0
2022-01-04 20:00,11.9,78,9.8,0.00,0.00,17,11.1,0,0.00,0.0,0.0,0.0
2022-01-04 21:00,11.8,80,9.9,0.00,0.00,23,10.1,0,0.00,0.0,0.0,0.0
2022-01-04 22:00,11.5,79,9.5,0.00,0.00,18,9.8,0,0.00,0.0,0.0,0.0
2022-01-04 23:00,11.6,77,9.5,0.00,0.00,12,10.5,0,0.00,0.0,0.0,0.0
2022-01-05 00:00,12.3,73,9.8,0.00,0.00,14,13.3,0,0.00,0.0,0.0,0.0
2022-01-05 01:00,11.4,79,9.5,0.00,0.00,54,9.4,0,0.00,0.0,0.0,0.0
2022-01-05 02:00,10.9,81,9.3,0.00,0.00,43,7.1,0,0.00,0.0,0.0,0.0
